fiscal_year,revenue_inr_crore,operating_profit_inr_crore,net_profit_inr_crore,employees,operating_margin_pct,source_id
2007,13893,,3850,72241,,infosys_ar_2012
2008,16692,,4659,91187,,infosys_ar_2012
2009,21693,,5975,104850,,infosys_ar_2012
2010,22742,,6219,113796,,infosys_ar_2012
2011,27501,,6823,130820,,infosys_ar_2012
2012,33734,9779,8316,149994,29.0,infosys_ar_2021
2013,40352,10429,9421,156688,25.8,infosys_ar_2021
2014,50133,12041,10648,160405,24.0,infosys_ar_2026
2015,53319,13832,12329,176187,25.9,infosys_ar_2026
2016,62441,15620,13491,194044,25.0,infosys_ar_2026
2017,68484,16901,14353,200364,24.7,infosys_ar_2026
2018,70522,17148,16029,204107,24.3,infosys_ar_2026
2019,82675,18880,15410,228123,22.8,infosys_ar_2026
2020,90791,19374,16639,242371,21.3,infosys_ar_2026
2021,100472,24622,19423,259619,24.5,infosys_ar_2026
2022,121641,28015,22146,314015,23.0,infosys_ar_2026
2023,146767,30905,24108,343234,21.1,infosys_ar_2026
2024,153670,31747,26248,317240,20.7,infosys_ar_2026
2025,162990,34424,26750,323578,21.1,infosys_ar_2026
2026,178650,36254,29474,328594,20.3,infosys_ar_2026
